"Term","Frequency"
"damaging,",1
"equilibr",2
"equilibration,",1
"lows.",1
"peaks.",1
"profile,",2
"puls",2
"quantifi",6
"rhs",1
"savings.",2
"""code-along""",1
"(use",2
"fedora/hydra",1
"framework)",1
"options,",2
"(arlo)",2
"(hrdr)",1
"(i3)",1
"ischool",1
"mukurtu,",1
"storytelling,",14
"worldwide;",2
"(2014-2015),",1
"mid-siz",9
"lecturers.",2
"334",1
"deteriorating,",1
"546",1
"""train--advocate""",1
"39-year",1
"accessioning,",3
"chute,",1
"output.",3
"reassessment,",1
"revelatori",2
"wsw",2
"arrows,",1
"bows,",1
"harpoons,",1
"hide",6
"installation.",1
"pag.",1
"projectil",2
"spears,",1
"staffs,",2
"weaponri",4
"adair",1
"probat",5
"travi",2
"augustana",2
"fantl",1
"plains,",3
"temperature/humid",1
"(lbi)",1
"bulbs,",1
"clinic",7
"shatter",6
"sleev",5
"survival.",2
"windows,",6
"(uapc)",2
"committee,",5
"stakeholders,",7
"uapc",6
"(mhma)",1
"mhma",1
"myaamia",2
"non-memb",1
"promote,",5
"researches.",1
"accessories,",1
"finishes,",2
"fixtures.",2
"graycliff",2
"alix",1
"bentrud",1
"current,",2
"data-logg",1
"establishments,",1
"flamm",4
"flux:",1
"makeup.",1
"population;",1
"$5,500",1
"(gmd)",2
"(hats,",1
"870",1
"accessori",6
"aprons,",1
"belts,",1
"crowded,",1
"garments.",1
"historically-signific",2
"scarves,",1
"several-year",1
"shoes),",1
"socks,",1
"worn",4
"garrison/lull,",1
"(cchs)",4
"2011-2018",1
"tube",3
"territory;",1
"(1874-present).",1
"(mom-icoh)",2
"2014-decemb",1
"disaster/emerg",1
"emergency/disast",1
"mom-icoh",2
"(wacc)",1
"1784",2
"2015-2016.",1
"buell",1
"johnston,",3
"single-sheet",1
"chicago-area",1
"cinematograph",2
"footage.",3
"got",3
"koza",2
"koza,",1
"landscapes,religi",1
"rid",1
"travelogu",3
"""indiana",1
"(1902-1982).",1
"1922-1942,",1
"1943-1945,",1
"1947-1979,",1
"career:",1
"coffman",2
"gazette""",1
"iup",2
"negatives;",1
"pittsburgh;",1
"wetzel",2
"wilbur",2
"atlases,",3
"clip",9
"directories,",4
"lackawanna",1
"scranton",1
"etherington",1
"harp",1
"(bsa)",1
"bsa",1
"ranger",1
"texas/north",1
"u.s.-mexican",2
"950",2
"panoram",2
"whole--on",1
"fully-plan",1
"hain",1
"labels,",2
"newspapers;",1
"particul",1
"suburb,",1
"teper,",1
"vac",1
"construction-readi",1
"jackson.",1
"slaveholder,",1
"storm",19
"uv-filt",3
"""newspapers--educ",1
"tabloids""",1
"122-year",1
"tonight,",1
"1822,",1
"methodology.",2
"(vrhc)",1
"houston-victoria",1
"mid-gulf",1
"non-print",5
"vrhc",1
"assess,",4
"mansfield",5
"montana.",6
"montanan",2
"earlham",5
"kasebox",1
"minutes.",1
"10%",3
"1011",1
"20%",2
"dilig",2
"incorrect",1
"tubes.",1
"1940-1965.",1
"1965,",4
"program)",1
"$5,975",1
"1912.",1
"books/booklets,",1
"brochures/market",1
"documents/letters,",1
"(uag)",1
"(usd)",1
"1977",2
"regionalist",3
"uag",4
"(uncw)",1
"430",2
"ceremonial,",1
"joan",2
"paterson",8
"tobia",1
"(1600s",1
"(plhs)",1
"6000$",1
"future-weath",1
"lookout",1
"lookout,",1
"nys",1
"plhs",2
"regents.",1
"bere",2
"beringia",1
"inupiat,",1
"strait.",1
"yupik,",1
"(tribe)",1
"angela",3
"mcgrew,",1
"rancheria",4
"$5,750",1
"1,050",1
"faunal",1
"publicly-held,",1
"size.",2
"suggestions.",1
"audiotape,",2
"legacies.",5
"lineages.",1
"video-",1
"11,785",1
"1941,",1
"8,047",1
"dallin",1
"hagley",4
"planners,",3
"rebox",2
"shall:",1
"treated-wood",1
"f.r.",1
"unclass",1
"norland",1
"set-,",1
"washburn",3
"washburn-norland",1
"(uniform",1
"displaying,",1
"flags).",1
"measures,",6
"supervisor,",1
"28%",1
"buffers.",1
"canvases,",1
"handling;",1
"slid",1
"slot",1
"unwant",1
"mt.",3
"pleasant",1
"assessment:",1
"incursion.",1
"1915,",2
"anthracit",1
"clippings,",6
"marywood",2
"datalogger.",1
"orman",3
"rings,",1
"carrier",5
"growler,",3
"intrepid,",3
"ship.",1
"submarin",1
"1910s",6
"vizcaya",6
"vizcayan",1
"bookmaking,",1
"holdings-books/folios,",1
"moved.",1
"plans-trac",1
"dayton.",2
"marian",5
"conservancy.",1
"hurricanes.",1
"melville.",1
"pulitzer,",1
"situations,",3
"strategies.",12
"windstorm",1
"woodlawn",4
"(1811-1896)",1
"2014-16.",1
"cabin.",2
"ensured.",2
"(moca)",7
"1980.",3
"2,800",2
"moca",4
"mulberri",2
"newsletters,",2
"(clothing,",1
"3000-year-old",1
"assessed.",1
"basketry)",1
"fiber-bas",2
"webb",3
"appleton,",1
"duplication;",1
"frozen.",1
"imls-fund",1
"irreplaceable,",1
"photoarch",2
"syndrome.",1
"eclim",2
"mercantil",4
"odegaard.",1
"pre-histor",1
"corrugated-board",1
"durer",1
"hokusai",1
"picasso",6
"rembrandt",3
"unichi.",1
"wma",1
"(hhc)",2
"center,nam",1
"heinz",2
"hhc",2
"oversized,",1
"workstat",1
"""dynam",2
"$1.5m",1
"$2m",2
"$40m",1
"community-focus",1
"creativity;",2
"museum--",2
"plank",1
"technology-bas",1
"u-m",2
"umma",1
"umma""--",1
"messina",1
"messina,",1
"quadrupl",1
"semester,",3
"$375,000",1
"dma",2
"$560,000",1
"snug",2
"labudd",1
"re-purpos",2
"consequence,",1
"full-time;",1
"part-",1
"preserve+share+produc",1
"schew",1
"(bam/pfa)",1
"bam/pfa",1
"center;",5
"$1.9",1
"$2,500);",1
"(conferences,",1
"(paah),",1
"acquisitions;",1
"history).",1
"paah",1
"pre-20th",1
"profession,",2
"provide:",1
"publications)",1
"survivors,",5
"visitorship.",1
"(lmcc)",1
"250-seat",1
"62,024",1
"auditorium",1
"longmont",1
"fruitvale,",1
"six-acr",2
"$150,000",5
"(2010-2012).",1
"-inclus",1
"addtion",1
"assistant,",3
"lanuag",1
"mla",8
"staffers.",1
"surveri",2
"verag",1
"widley",1
"(cf",1
"announcements.",1
"antinuclear",2
"cyberspace,",2
"eyerman",1
"fukushima",1
"intertextuality—",1
"message.",1
"musico-textu",1
"recordings—",1
"street).",1
"venues—demonstrations,",1
"abort",1
"capital-t",1
"certain.",1
"fallibl",1
"gonna",1
"nowaday",1
"probabil",1
"quandari",2
"theology:",1
"true,",1
"truths.",1
"typescript.",1
"haruki",1
"imitated,",1
"kundera,",1
"milan",1
"murakami,",1
"nazis,",2
"orhan",1
"pamuk.",1
"500,",1
"aps",1
"columns,",2
"liturgy,",2
"monastery.",1
"nich",4
"polychrom",2
"semidomes.",1
"skin",3
"triconch",1
"""lifecycle""",1
"72,335",1
"8,847",1
"81,182",1
"adolescence,",3
"apprais",3
"appraised,",1
"bartered,",1
"bondpeople’",1
"cadav",1
"childhood,",4
"infancy,",1
"monetari",3
"people’",9
"postmortem.",1
"pound",4
"preconception,",1
"prices.",2
"sold.",2
"structurally,",1
"audiobook",1
"book.""",1
"arabic-languag",5
"imaginaries.",1
"insurgents,",1
"insurrection,",1
"life-threaten",1
"linchpin",3
"rebelli",2
"solidarities,",2
"transgress",3
"""sounded""",1
"(1930s-1950s)",1
"africans,",6
"evolutionism.",1
"sway",1
"bible/old",1
"ii-isaiah",2
"isaiah",2
"much-improved,",1
"ohb",2
"receptus",1
"translations)",1
"addictive,",3
"alcohol",5
"alcohol.",1
"arousing.",1
"beverag",3
"delicious,",1
"drinking,",2
"forbidden,",1
"impure.",1
"intox",2
"nourishing,",1
"(ar",2
"(“moderni”)",1
"cupidus’:",1
"eagleton",1
"endeavour",1
"mode.”",1
"moderns”",1
"nova)",1
"novelti",4
"novelty,",3
"observed:",1
"rerum",2
"vetus).",1
"‘novarum",1
"“new”",3
"“old”",2
"(1632-77),",1
"(argument",1
"1596-1660),",1
"1630,",1
"amsterdam",2
"amsterdam).",1
"apologet",3
"christiana",1
"contra",6
"dialogues,",3
"hebraeorum",1
"hebraism",1
"morteira",3
"motif",4
"obstáculo",1
"oposicion",1
"religión",1
"respublica",1
"spinoza.",3
"""empire"")",1
"(""decision-making,""",1
"(1500-58)",1
"foci:",1
"cognition.",2
"meaning--appear",1
"semiotics--",1
"1471",1
"1734,",1
"1869,",4
"campidoglio",1
"campidoglio,",1
"capitolin",2
"capitoline,",1
"capitolino",1
"louvre,",1
"[sic]:",1
"bermuda.",1
"kamarakafego",1
"kamarakafego,",2
"pan-african",5
"pan-africanist",1
"pauulu",2
"world-view",1
"britain;",1
"elections,",4
"general.",3
"investor",2
"sharehold",1
"elud",3
"photojourn",1
"technologies:",1
"1930-1950,",1
"burden",5
"constrict",1
"genre-ori",1
"plural.",1
"respect?",1
"sociolinguistics.",1
"urgent.",2
"book-project",1
"feminis",1
"men's,",1
"mother-tongu",1
"unattempt",1
"anthropologist,",1
"ethnohistori",4
"outsiders.",2
"salar",3
"salars,",1
"storyteller,",1
"stylistics,",1
"turkmens,""",1
"(ms",1
"aragon",2
"aragon:",1
"bibl.",1
"c/3",1
"domination,""",1
"heroiz",1
"madrid).",1
"mudejar",4
"mudejars,",1
"tnt,",1
"implaus",1
"non-fiction.",1
"(justice,",1
"(requir",2
"certitud",1
"citizenship)",1
"disabilities.",9
"life),",1
"priori",2
"shrift",1
"cartonera",1
"chile.",2
"commemoration.",2
"postdictatorship",1
"transit.",1
"binocularity,",1
"disembodied.",1
"geometrical,",1
"monocular,",1
"objective,",1
"obscura",2
"physiology.",1
"re-analyz",1
"""surveillance""",1
"1550.",1
"exactness,",1
"fiddl",2
"little--littl",1
"public/visu",1
"sensitivity,",1
"sickness.",1
"""hybrid",1
"artificial--",1
"experientially--",1
"intellectually,",2
"nature""",1
"rivers""--dam",1
"seem.",1
"wild-",1
"wildness--ecologically,",1
"15th-c.",1
"choirbook,",1
"confounding,",1
"cryptography,",1
"emblems,",1
"hieroglyphs.",1
"instructions,",1
"newfound",2
"performance—",1
"rests.",1
"revelation.",1
"unnecessari",2
"upside-,",1
"(1947-1968)",1
"editor;",1
"handicap",1
"journalists;",1
"newsroom",1
"wrought",5
"""soundscape""",1
"abbey",2
"bavo's,",1
"benedictin",2
"benefact",1
"benefactors,",1
"cathedral.",1
"ingredient.",1
"preferences,",1
"streets,",3
"graffiti",20
"graffiti,",1
"monograph--progress,",1
"wall:",1
"depravity--cam",1
"evildo",1
"sin--",1
"aims:",5
"contast,",1
"marxist",1
"mind-ori",1
"music-psycholog",1
"self-evident.",2
"semiotics,",1
"way;",1
"“humanist”",1
"“subjects”",1
"20th-c.",3
"advocate,",1
"ancel",1
"cookbooks.",2
"equilibrium",1
"extra-person",1
"habits,",2
"habits.",1
"keys,",1
"low-fat",1
"re-feed",1
"society--within",1
"starvat",1
"studies--",1
"(victoria",1
"carriera",1
"carriera,",1
"princes,",1
"rosalba",1
"toronto),",1
"contested,",4
"countervail",2
"exigencies.",1
"jerusalem",7
"jerusalem,",4
"rulings,",1
"1500-1698,",1
"grained,",1
"imbangala,",1
"kisama",1
"kisama,",2
"modernities:",1
"portuguese.",1
"(1922-1979),",1
"1921),",1
"1933)--alongsid",1
"cases:",2
"concert-mus",1
"egyptian-born",2
"el-dabh",1
"experimentalist",2
"halim",1
"mingus",1
"ono",1
"plurality,",1
"yoko",1
"1500s,",1
"anatomy,",1
"debates.",4
"meaningful.",2
"mid-17th",2
"monkeys).",1
"colonies.",3
"""colonized""",1
"""jewish""",1
"anglophone,",1
"cohabit",1
"color,",7
"express,",1
"francophone,",1
"german-languag",5
"argentin",16
"fans,",3
"travels,",1
"camp.",3
"detain",3
"mauthausen",2
"mauthausen,",1
"entailed.",1
"examined,",2
"import,",1
"jewelry.",1
"mirrors,",1
"opposite,",1
"ugli",2
"ugliness.",1
"cinema---",1
"leisure.",2
"lodges,",1
"almoravid",1
"inter-rel",3
"legal-religi",1
"rule""",1
"(1941-44)",1
"(investigations,",1
"challenges:",2
"class/occupation,",1
"data--wartim",1
"discussions),",1
"draconian",1
"etc.--",1
"leningrad",3
"propaganda,",2
"recollections,",1
"starvation,",1
"color.",7
"nature--",1
"properties.",3
"""class",1
"""contemporari",1
"""identity.""",1
"""seminar",1
"1932-33",1
"1933.""",1
"dollard,",1
"experiment.",3
"personality""",1
"personality,""",1
"psychosoci",1
"racism.",2
"sapir,",2
"""imperceptibly,""",1
"""insensibly""",2
"""secret",1
"affect,",2
"copious",5
"opaqu",2
"sexual,",2
"undercurrents.",1
"unfelt",1
"unnot",3
"""coordin",1
"1965-66,",1
"committee""",1
"day--",1
"defied,",1
"ignored,",2
"sncc",3
"(43",1
"bce-17",1
"cultures---",2
"animal-human",1
"consults,",1
"less--rat",1
"lifespan",4
"nonhuman",2
"progymnasmata",1
"rhetor,""",1
"rhetoric--",1
"sequence.",1
"span,",1
"studies--especi",1
"bane",1
"biochemical,",2
"containment,",1
"ibm-compat",1
"shows.",3
"slusovice,",1
"socialism,",1
"sold-",1
"subversion,",1
"surveillance.",1
"verg",3
"afro-cuban",6
"ballet,",4
"choreographi",1
"cosmopolitan,",1
"homophob",1
"homosexuality,",1
"politics;",4
"proletarian",1
"assault",1
"courtroom",7
"deciph",3
"diagnosis,",1
"forens",15
"homicid",2
"incap",1
"insan",5
"jury.",1
"mad.",1
"mania",1
"mania:",1
"nervous",1
"testifi",3
"thing:",1
"witnesses,",3
"(1813-1894),",1
"(1850),",1
"others);",1
"philanthropist.",1
"unstint",1
"businesswomen",2
"companies,",2
"crisscross",1
"english-opera",1
"enthusiastic,",1
"foreign-languag",2
"hitherto-unexamin",1
"late-centuri",1
"""metic,""",1
"central--",1
"descent-bas",1
"displaced--matt",1
"excluded,",3
"immigrant,",7
"litigi",1
"metic",2
"metic,",1
"nativism.",1
"unappreci",2
"delusory.",1
"intractable.",1
"skepticism:",1
"""prior",1
"1940.",2
"consumers,",4
"meanings""",1
"""thieved""",1
"""three-fing",1
"(1780-1781).",1
"bandit,",1
"behest.",1
"fighter",2
"grisli",1
"jack,""",1
"jamaica,",3
"judgment.",2
"killer,",1
"rivet",2
"sabotag",2
"thief",1
"blumen-nahrung.",1
"butterfli",1
"discussed.",5
"insects,",2
"merian",5
"moth",3
"motivations,",2
"naturalist,",2
"plants.",3
"raupen",1
"sibylla",1
"sonderbar",1
"und",3
"verwandelung",1
"wunderbar",1
"""racial""",1
"(ecuador),",1
"audiencia",1
"contingencies,",4
"distinct,",4
"enclave,",1
"ethnohistorians.",1
"ethnohistory:",1
"isolation",1
"mestizos,",1
"multiethnic,",2
"pelileo",2
"pelileo.",1
"quito",1
"white-mestizo",1
"1121-1151,",1
"abbey’",1
"abbot",2
"agendas.",3
"commentator,",1
"liturgist",1
"political-histor",1
"promise:",1
"regent",2
"saint-denis.",1
"suger",1
"suger,",1
"suger’",2
"(1948-1994).",1
"apartheid",2
"apartheid,",1
"interview-bas",1
"likeness,",1
"pleasur",10
"prototypes.",1
"self-imag",5
"township",2
"townships.",1
"""polar",2
"1818-1914",1
"antarct",2
"imprints""",2
"nonstandard",2
"polar-voyag",1
"presses,",1
"ship:",1
"shipboard",2
"unremark",3
"voyages,",1
"(1769-1859).",1
"articulated,",1
"deficiencies,",1
"hamper",4
"mbg",2
"""encyclo-dictionary,""",1
"active-liv",1
"aging--place,",1
"explanations.",1
"retrofit",5
"chapion",1
"eastland,",1
"kennedy,",3
"lawmakers--",1
"marshall--",1
"marshall.",2
"nomination.",1
"stennis,",1
"strom",1
"ted",1
"thurgood",1
"thurmond,",1
"titan",1
"weigh",5
"(www.vanishinghistory.org)",1
"abandoned,",1
"landscape--tak",1
"unmarked,",1
"home"",",1
"cascad",1
"cole,",3
"ellensburg,",2
"missoula",3
"""neh",1
"actors/scholar",1
"consisted,",1
"elmhurst",3
"oah",3
"post-ww",1
"road""",2
"roosevelt;",1
"suburbanization;",1
"walking-bus",1
"19,000",1
"800-year",1
"(greek,",1
"christians.",2
"contracts,",4
"coptic,",6
"egyptian,",1
"heaps:",1
"homilies,",1
"merchant,",5
"monk).",1
"oxyrhynchus",1
"recipes.",1
"returns,",1
"roman,",1
"transcriptions;",2
"trash",1
"writings:",1
"assembled.",1
"classifying,",1
"commonplacing,",1
"commonplacing--",1
"overload""",1
"reuse--",1
"self-identity.",1
"image-process",2
"post-class",1
"baltic,",1
"hungarians,",1
"slavic",5
"celelbr",1
"karski.",1
"conspiracy.",2
"dimensions,",1
"fields.""",1
"still-evolv",1
"""geographi",2
"kinship""",1
"kinship:",1
"colonies,",7
"prisons,",1
"regime;",2
"russian/soviet",3
"survivors.",3
"""gertrud",2
"(""ahead",1
"architect""",1
"baghdad,""",1
"baghdad.""",1
"ballroom"")",1
"bell:",4
"euphrat",1
"hussein",2
"krayenbühl",1
"markets.",3
"oelbaum",2
"opaque.",2
"peel",3
"saddam",2
"time"")",1
"toppl",3
"zeva",2
"fond",1
"lac",4
"ojibwemowin",1
"tmcc",1
"courses;",8
"teaching;",1
"uh.",1
"folktal",8
"laguardia",8
"self.",7
"conveying,",1
"encounter.",2
"expressing,",2
"medicine;",2
"patient/provid",1
"symptom""",1
"symptom.""",1
"ucr.",1
"""ethics,",1
"discourse""",1
"lowest",1
"rates.",2
"readiness.",1
"conferences.",4
"majors;",1
"course;",1
"symposium;",1
"tuskege",9
"chasm",2
"grambl",1
"hours,",1
"marginalize.",1
"plight",2
"week-day",1
"weeks.",1
"""groupings""",1
"ballads--1,137",1
"collectors.",4
"similar.",1
"""lost""",1
"ampas,",1
"capsul",2
"explorations,",1
"fewest",1
"geh,",1
"intertitles,",1
"loc,",2
"nfpf",1
"nfpf-led",1
"poorer",1
"wonders,",1
"(2007),",2
"doe.",3
"med",4
"oed;",2
"thumbnail",2
"""greater",1
"(march)",1
"aggregate,",1
"digital-first",1
"multi-phas",4
"philadelphia""",1
"underway,",3
"university-camden",1
"33,000-plus",1
"maintenance--tim",3
"charge,",1
"download,",1
"files--",1
"hand:",2
"harvest--fre",1
"license--via",1
"metadata--",1
"philadelphia-bas",2
"points--",1
"poleman",1
"scribes--",1
"(),",1
"(ri),",1
"culturally-sensit",2
"keepers,",1
"passmaquoddi",1
"proposals.",2
"protocols,",4
"tomaquag",2
"workflow,",3
"keith/albe",1
"(0.5",1
"230",3
"files).",1
"incit",2
"lead.",1
"terabyt",1
"giza",14
"giza.",1
"gizacard",1
"gizacard,",1
"pyramids.",1
"""meta-catalogue""",1
"cross-search",2
"manuscripts:",1
"platforms.",6
"redevelop",8
"similar,",1
"user-commun",1
"user-driven,",2
"ate",1
"bluestein",1
"brocker",1
"cookbook",2
"janic",2
"longon",1
"sliker",1
"(ddsa)",1
"academician",1
"ddsa",1
"kannada,",2
"kashmiri,",1
"konkani,",1
"panjabi,",1
"prakrit,",1
"sindhi,",1
"sinhala,",1
"telugu.",1
"(sag-aftra),",1
"guild,",3
"guild-american",1
"industry-wid",2
"picture-rel",1
"rico-rio",2
"(1814-1887).",1
"botanist,",1
"keyword",7
"planter,",2
"pursuits,",2
"ravenel",2
"reunit",5
"2)develop",1
"3)creat",1
"5)structur",1
"analysis;4)develop",1
"assets;",2
"digitization;",1
"(castilian,",1
"315,000",1
"catalan)",1
"galician,",1
"iberia,",1
"philobiblon,",1
"portuguese,",1
"records).",1
"web-host",1
"(1603-1856)",1
"(1603-1900)",1
"(1668-1900)",1
"bamako,",1
"developments,",7
"mali.",1
"malian",1
"mopti,",1
"ségu,",1
"bryn",3
"half.",1
"late-nineteenth",1
"mawr",3
"radcliff",2
"schlesing",2
"vocabulary.",1
"43,000",1
"fragments--",1
"friedberg",1
"genizah",4
"non-jewish",3
"second-largest",2
"(1848-1971).",1
"30-month",1
"knoedler",3
"processed,",1
"2300;",1
"partners;",3
"afro-asiat",1
"egyptology,",4
"pharaon",2
"scriptorium",2
"amalgam",6
"certificates,",3
"contents,",2
"creators,",5
"indentur",3
"invoices,",2
"leases,",1
"receipts,",2
"astronomy.",1
"celesti",10
"navigation,",2
"(http://www.msdiglib.org)",1
"artist.",4
"bibliothèqu",1
"board,",6
"creating,",2
"d'art",2
"designing,",1
"duchamp",6
"duchamp-rel",1
"kandinski",1
"musé",2
"pompidou.",1
"portal.",5
"specialists;",2
"$142,056",1
"7,200",2
"badges,",1
"buttons,",1
"handbills,",1
"invitations,",1
"life-provid",1
"menus,",3
"objects-",1
"pins,",1
"ribbon",1
"sashes.",1
"souvenir",8
"souvenirs,",1
"transient",4
"beineck",3
"henricus",1
"illegible.",2
"legible,",2
"martellus",1
"multi-spectr",2
"multispectr",3
"scuf",1
"yale.",1
"(iocre)",1
"(ocre)",1
"aims.",4
"coinag",6
"nomisma.org.",1
"vocabularies,",3
"1845",4
"excavations,",5
"hermitage.",1
"insights,",6
"lifeway",6
"nashville,",2
"800-1450",1
"caddo",1
"exhibit,""",1
"spiro",3
"(1801-1848),",2
"consider.",2
"ropes.",1
"tcnhs",4
"velvet",1
"""page",1
"boston-area",7
"closed.",1
"collections.""",1
"mcmullen",2
"""becom",1
"""thoma",1
"(acmaa),",1
"(lacma).",1
"(nama),",1
"1900s.",4
"20th-",1
"hollywood,""",1
"pem,",2
"1853",2
"2015-march",1
"2016),",3
"eyr",1
"one-day,",1
"sold""",2
"sold:",1
"trade""",1
"two-sit",1
"110",2
"1800-1960""",1
"chronologically--",1
"diversity--stylistically,",1
"humanities-cent",3
"mixed-media",1
"dance,""",1
"folio""",1
"folio--",1
"folio.""",1
"islands--",1
"magnitude.",1
"nation--",1
"plays--",1
"barberini",4
"cathedr",3
"divine.",6
"looms,",1
"recently-complet",1
"schnitzer",6
"bricks--mortar",2
"longer-term",6
"multi-lay",8
"website-bas",1
"""jacob",1
"(1849-1914),",1
"denmark",2
"half,'""",1
"photographs:",1
"reformer.",1
"shocking,",1
"""arctic",1
"7,500-square-foot",1
"aleutian",1
"ambitions:",1
"celebration.",1
"fabricate,",1
"inlet",2
"kamchatka,",2
"passage.""",1
"siberia,",2
"tacoma.",1
"17,500",1
"acr",6
"cues,",1
"georgetown,",1
"""nine",1
"5,""",1
"dolli",4
"enough.",2
"fed",2
"five,""",1
"harassment,",1
"humiliations.",1
"parton.",2
"pool.",2
"rediscov",5
"steno",1
"stud",8
"workplaces,",2
"1820s-1840s.",1
"ignored.",2
"poe""",1
"poe--",1
"shaper",1
"tastes,",1
"(10-20",2
"(3-5",1
"(twiw)",1
"cox",2
"language-rel",3
"longer-format",1
"mins.)",2
"podcasts.",1
"pri,",1
"sharing.",4
"short-format",1
"twiw",3
"wgbh/boston,",1
"words""",2
"""micro-historical""",1
"discovery,",9
"docu-detect",1
"heroine--maria",1
"mihistoria.net",1
"moreno,""",1
"famously,",1
"flagrant",1
"glorifi",1
"infamously,",1
"klan",1
"protagonist.",1
"smash",2
"""lorrain",2
"(1930-1965),",1
"(lhdp)",1
"(w.t.),""",1
"--interact",1
"1959",9
"commitment.",1
"hansberri",5
"lhdp",1
"multiplatform",2
"sun.""",1
"""find",1
"$234,868.",1
"channel).",1
"guys,",1
"mini-series.",1
"podcast--",1
"virginia--request",1
"way,""",1
"(36",1
"year)",3
"2015-june",3
"2018.",39
"omohundro",7
"sixty-eight-year-old",1
"(tll),",1
"apa,",1
"fellow.",2
"fellows)",1
"tll.",1
"$47,600,",1
"$405,000",1
"2015-16.",1
"2015-16,",2
"2016-17,",1
"2017-18,",1
"w.f.",1
"$269,400",1
"2015-2016,",2
"2016-2017,",1
"2017-2018",3
"cycles.",1
"ten-month",2
"$18,150",1
"$4,200",1
"($75,600),",1
"(226,800)",1
"9-month",1
"airfar",1
"amenities.",1
"annually,",2
"fellow,",2
"getty,",1
"gri-neh",1
"non-cash",1
"round-trip",1
"center"")",1
"microfilms;",1
"""pacif",2
"(omca).",1
"aborigin",3
"collectors,",2
"omca",1
"(nhd)",2
"contest.",1
"nhd",3
"(ccp)",3
"(english",2
"1947.",1
"ali,",1
"bibliographies,",1
"ccp",8
"daud",1
"deven",1
"explorers,",2
"gudipati",1
"intellectuals;",1
"jamal",1
"kaul,",1
"lakshmi",1
"mahabharata",1
"meister,",1
"partit",2
"patel,",1
"prejsnar",1
"ramayana.",1
"respectively)",1
"suvir",1
"travelers,",1
"vedic",1
"(catherin",1
"(ccbc)",1
"(list",1
"(rees)",2
"(slavic",1
"(srdja",1
"2016,",43
"activities-",1
"bosnia,",1
"bradi",1
"chronicle:",1
"chwin",1
"corners""",1
"croatia,",2
"dalmatia",1
"danzig,",1
"department-sponsor",1
"duraskov",1
"europe-focus",1
"finalized).",1
"herzegovina.",1
"judt",1
"krajina",1
"literatures),",1
"ljiljana",1
"modules-",1
"pennsylvania;",1
"pittsburgh-area",1
"rees-affili",1
"region-specif",1
"saturday",5
"serb",1
"serbia,",1
"slavonia,",1
